mdn-ls-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
9,daeh-ZaoBuXing-HeHouMaDian.xml,2.0,2.0,3.0,1.0,4.0,6;6;7;6;22;6;27
10,daeh-ZiNaRi-ErJinGong.xml,3.0,2.0,4.0,1.0,6.0,11;35;9;11;11;10;13;27;9;8;38
11,daeh-ZuoChunGui-XiShi.xml,4.0,2.0,6.25,1.0,11.0,43
12,dldeh-ShouBiPo-ChunQiuPei.xml,4.5,3.75,7.75,1.0,12.0,55;15
Avg,,4.0,2.0,5.0,1.0,9.0,12;48;12;13;12;34;11;12;40;17;47;10;14;45;13;52;12;20;13;43;13;10;13;17;13;49;18;11;18;10;10;11;11;44;12;10;10;17;10;50;12;12;15;11;14;17;13;22;27;11;35;11;11;10;13;27;38;11;43;12;55;12;10;15
mdn-da-eh-yb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-NaRiFeng-YuanXiaoMi.xml,3.0,2.0,7.0,1.0,14.0,27;32;23
2,daeh-XiaoNuCai-SanNiangJiaoZi.xml,2.0,1.0,4.0,1.0,7.0,10;10;17
3,daeh-ZiNaRi-ZhuangYuanMei-1.xml,2.0,1.0,3.0,1.0,6.0,9;44;14;21;9;52;8
4,daeh-ZiNaRi-ZhuangYuanMei-2.xml,2.0,1.0,3.0,1.0,6.0,8;8;44;12;18;7;57;8
5,daeh-ZuoRiGong-TaiZhenWaiChuan.xml,2.0,2.0,4.0,1.0,6.0,10;34;8;9
6,sdeh-WenSanNiang-SanNiangJiaoZi.xml,2.0,1.0,3.0,1.0,5.0,12;23
Avg,,2.0,1.0,3.0,1.0,6.0,13;14;7;10;7;7;12;27;14;12;7;8;32;10;7;23;10;7;10;17;9;44;14;21;9;52;8;8;8;44;12;18;7;57;8;10;34;8;9;12;23
mdn-da-eh-yb-s1.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-NaRiFeng-YuanXiaoMi.xml,4.5,3.0,10.75,2.0,14.0
2,daeh-XiaoNuCai-SanNiangJiaoZi.xml,2.0,1.0,6.0,1.0,10.0
3,daeh-ZiNaRi-ZhuangYuanMei-1.xml,2.0,2.0,3.0,1.0,4.0,5;9;14;5;21;8
4,daeh-ZiNaRi-ZhuangYuanMei-2.xml,2.0,1.25,3.0,1.0,4.0,8;8;12;18;8
5,daeh-ZuoRiGong-TaiZhenWaiChuan.xml,3.0,2.0,5.75,1.0,10.0
6,sdeh-WenSanNiang-SanNiangJiaoZi.xml,2.0,1.0,4.0,1.0,5.0,12
Avg,,2.0,2.0,5.0,1.0,9.0,13;14;14;12;10;14;21;12;18;10;12
mdn-da-eh-yb-s2.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-NaRiFeng-YuanXiaoMi.xml,3.0,2.0,4.0,1.0,7.0,8;32
2,daeh-XiaoNuCai-SanNiangJiaoZi.xml,2.0,1.0,3.25,1.0,6.0,10
3,daeh-ZiNaRi-ZhuangYuanMei-1.xml,2.0,1.0,2.0,1.0,3.0,4;4;4;4;4;4;6
4,daeh-ZiNaRi-ZhuangYuanMei-2.xml,2.0,1.0,3.0,1.0,6.0
5,sdeh-WenSanNiang-SanNiangJiaoZi.xml,2.0,2.0,2.0,1.0,3.0
Avg,,2.0,1.0,3.0,1.0,6.0,7;8;32;10
mdn-da-eh-yb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-NaRiFeng-YuanXiaoMi.xml,3.5,2.0,6.25,2.0,12.0,27;23
2,daeh-XiaoNuCai-SanNiangJiaoZi.xml,2.0,1.0,3.0,1.0,6.0,17
3,daeh-ZiNaRi-ZhuangYuanMei-1.xml,2.0,1.0,2.0,1.0,3.0,5;4;5;4;44;4;5;9;4;4;5;4;5;4;52;4;5;6
4,daeh-ZiNaRi-ZhuangYuanMei-2.xml,2.0,1.0,2.5,1.0,4.0,5;5;44;5;5;7;5;5;5;5;57;5
5,daeh-ZuoRiGong-TaiZhenWaiChuan.xml,2.0,2.0,3.25,1.0,5.0,34;9
6,sdeh-WenSanNiang-SanNiangJiaoZi.xml,2.0,1.0,3.0,1.0,5.0,23
Avg,,2.0,1.0,3.0,1.0,6.0,10;7;12;27;10;7;23;17;44;9;52;44;7;57;34;9;23
mdn-da-xp-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChenSanLiang-ChenSanLiangPaTang.xml,6.0,4.0,8.0,1.0,10.0,68;56;48;16;22;19
2,daxp-DuiLingHua-BiYuZan.xml,7.0,4.0,10.25,2.0,17.0,37;58;49
3,daxp-ErDeFu-HongNiGuan.xml,4.0,3.0,5.0,1.0,8.0,17;24;30;22;17;10;22;17
4,daxp-LaoDieDie-SanJiZhang-1.xml,5.0,3.0,7.0,1.0,9.0,26;15;44;15
5,daxp-LaoDieDie-SanJiZhang-2.xml,4.0,2.25,5.0,1.0,7.0,19;11;35;45;12
6,daxp-QiaoLouShang-HuangShanLei.xml,4.0,3.0,7.25,1.0,11.0,33;39;37
7,daxp-WoZhuYe-SiLangTanMu.xml,3.0,2.0,5.0,1.0,9.0,45;53;50;23;13;44
8,daxp-XiRiLi-LongFengChengXiang.xml,5.0,3.0,8.5,1.0,13.0,45;38;48;50;19;19
9,daxp-XiRiLiang-LongFengChengXiang.xml,6.0,3.75,10.0,2.0,18.0,27;52;44
10,daxp-XiShiNv-XiShi.xml,4.0,3.0,6.0,1.0,10.0,20;39;34;34;13;34
Avg,,4.0,3.0,7.0,1.0,13.0,68;56;48;16;22;19;37;58;49;17;15;17;24;30;22;17;22;17;26;15;44;15;19;35;45;33;39;37;45;53;50;23;44;45;38;48;50;19;19;27;15;52;44;18;20;39;34;34;34
mdn-da-xp-mb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChenSanLiang-ChenSanLiangPaTang.xml,4.0,3.0,7.0,1.0,8.0,56;16
2,daxp-DuiLingHua-BiYuZan.xml,7.0,4.0,10.25,3.0,12.0,37;49
3,daxp-ErDeFu-HongNiGuan.xml,4.0,3.0,5.0,1.0,7.0,17;30;17;22
4,daxp-LaoDieDie-SanJiZhang-1.xml,4.0,3.0,7.0,1.0,9.0,26
5,daxp-LaoDieDie-SanJiZhang-2.xml,4.0,2.25,5.0,1.0,6.0,19;45
6,daxp-QiaoLouShang-HuangShanLei.xml,4.0,3.0,6.25,1.0,10.0,33
7,daxp-WoZhuYe-SiLangTanMu.xml,3.0,2.0,5.0,1.0,9.0,45;23
8,daxp-XiRiLi-LongFengChengXiang.xml,4.0,2.25,5.75,2.0,11.0,45;48;19
9,daxp-XiRiLiang-LongFengChengXiang.xml,6.0,3.5,8.75,2.0,13.0,27;44
10,daxp-XiShiNv-XiShi.xml,4.0,3.0,5.0,1.0,8.0,20;34;34
Avg,,4.0,3.0,6.0,1.0,10.0,56;16;12;37;12;11;49;17;30;17;22;26;19;45;33;45;23;45;11;48;19;27;13;44;20;34;34
mdn-da-xp-mb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChenSanLiang-ChenSanLiangPaTang.xml,6.0,4.0,8.0,2.0,10.0,68;48;22;19
2,daxp-DuiLingHua-BiYuZan.xml,6.5,3.75,9.75,2.0,17.0,58
3,daxp-ErDeFu-HongNiGuan.xml,4.0,3.0,6.25,1.0,10.0,24;22;17
4,daxp-LaoDieDie-SanJiZhang-1.xml,5.0,3.75,7.25,2.0,9.0,15;44;15
5,daxp-LaoDieDie-SanJiZhang-2.xml,3.5,2.75,6.25,1.0,11.0,35;12
6,daxp-QiaoLouShang-HuangShanLei.xml,4.5,3.0,8.25,2.0,11.0,39;37
7,daxp-WoZhuYe-SiLangTanMu.xml,3.5,3.0,7.25,2.0,13.0,53;50;44
8,daxp-XiRiLi-LongFengChengXiang.xml,5.0,4.0,11.0,1.0,19.0,38;50
9,daxp-XiRiLiang-LongFengChengXiang.xml,6.5,4.0,11.75,3.0,18.0,52
10,daxp-XiShiNv-XiShi.xml,4.0,3.0,7.0,1.0,13.0,39;34
Avg,,5.0,3.0,8.0,1.0,15.0,68;48;22;19;58;17;24;22;17;44;35;39;37;53;50;44;38;50;19;52;18;39;34
mdn-da-xp-yb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,4.0,3.0,6.0,1.0,10.0,17;15;15
2,daxp-DangRiLi-SuoLinNang.xml,3.0,2.0,4.0,1.0,7.0,16;10;10;21;8;9;8;8;12;8
3,daxp-LaoDieDie-DaYuShaJia-1.xml,3.0,2.0,4.0,1.0,6.0,14
4,daxp-LaoDieDie-DaYuShaJia-2.xml,3.0,2.0,4.0,1.0,6.0,14
5,daxp-LaoDieDie-YuZhouFeng.xml,3.0,2.0,4.0,1.0,7.0,12;8;11
6,daxp-MengJunZi-ChunQiuPei-1.xml,4.0,2.0,6.0,1.0,12.0,25;13;14
7,daxp-MengJunZi-ChunQiuPei-2.xml,2.0,2.0,4.0,1.0,6.0,21;9;11;11;9;9
8,daxp-NiDeFu-FenHeWan.xml,3.0,2.0,4.0,1.0,6.0,18;12;9;10
9,daxp-QiaoLouShang-HuangShanLei.xml,3.0,2.0,4.0,1.0,7.0,8;10;13;29;9;19;8;9;45;19;8;12;14;8
10,daxp-WoDeNiang-XinAnYi.xml,4.0,3.0,5.0,1.0,6.0,14;12;9;27
Avg,,3.0,2.0,4.0,1.0,7.0,17;15;10;15;16;10;10;21;8;9;8;8;12;8;14;14;12;8;11;25;13;14;12;9;9;11;21;9;11;11;9;9;18;12;9;10;8;10;13;29;9;19;8;9;45;19;8;12;14;8;14;12;9;27
mdn-da-xp-yb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,3.0,2.25,5.75,1.0,6.0
2,daxp-DangRiLi-SuoLinNang.xml,3.0,2.0,4.0,1.0,7.0,16
3,daxp-LaoDieDie-DaYuShaJia-1.xml,2.5,2.0,4.0,1.0,6.0,14
4,daxp-LaoDieDie-DaYuShaJia-2.xml,2.5,2.0,4.0,1.0,4.0,14
5,daxp-LaoDieDie-YuZhouFeng.xml,3.0,2.0,4.0,1.0,5.0,12
6,daxp-MengJunZi-ChunQiuPei-1.xml,4.0,2.0,4.75,1.0,6.0,25;12
7,daxp-MengJunZi-ChunQiuPei-2.xml,2.0,2.0,3.0,1.0,4.0,5;21;11;6
8,daxp-NiDeFu-FenHeWan.xml,3.0,2.0,3.5,1.0,4.0,18
9,daxp-QiaoLouShang-HuangShanLei.xml,3.0,2.0,4.0,1.0,6.0,29;45;8;8
10,daxp-WoDeNiang-XinAnYi.xml,4.0,2.75,5.25,1.0,6.0,14;27
Avg,,3.0,2.0,4.0,1.0,7.0,16;14;14;12;25;12;21;11;18;29;45;8;8;14;27
mdn-da-xp-yb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,4.0,4.0,6.0,3.0,7.0,17;15;10;15
2,daxp-DangRiLi-SuoLinNang.xml,3.0,1.0,4.0,1.0,8.0,10;10;21;9;12
3,daxp-LaoDieDie-DaYuShaJia-1.xml,4.0,2.0,4.0,1.0,6.0
4,daxp-LaoDieDie-DaYuShaJia-2.xml,3.0,2.75,4.0,1.0,4.0,6;6
5,daxp-LaoDieDie-YuZhouFeng.xml,3.0,2.0,4.5,1.0,8.0,11
6,daxp-MengJunZi-ChunQiuPei-1.xml,3.5,2.0,6.0,1.0,11.0,13;14
7,daxp-MengJunZi-ChunQiuPei-2.xml,2.0,2.0,5.0,1.0,9.0,11
8,daxp-NiDeFu-FenHeWan.xml,4.0,2.0,6.0,1.0,12.0
9,daxp-QiaoLouShang-HuangShanLei.xml,3.0,2.0,5.25,1.0,10.0,13;19;19;12;14
10,daxp-WoDeNiang-XinAnYi.xml,4.0,3.0,4.25,2.0,6.0,12;9
Avg,,3.0,2.0,5.0,1.0,9.0,17;15;10;15;10;10;21;12;11;13;14;11;11;12;10;10;13;19;19;12;14;12
mdn-da-xp-kb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,1.0,1.0,2.0,1.0,3.0,4;4;4;4;4;4;4;4;31;4;4;5
2,daxp-DangRiLi-SuoLinNang.xml,1.0,1.0,2.0,1.0,3.0,4;4;4;4;4
3,daxp-DiTouLi-NvQiJie.xml,1.0,1.0,2.0,1.0,3.0,4
4,daxp-ErTingDe-SuoLinNang.xml,2.0,1.0,2.0,1.0,3.0,4;4;6;4;4;4;5;27;4;4;5
5,daxp-FeiShiWo-TaoHuaCun.xml,1.0,1.0,2.0,1.0,3.0,4;8;4;4;5;4;4;5;7;4
6,daxp-MengTingDe-MuiGuiYingGuaShuai.xml,1.0,1.0,1.0,1.0,7.0
7,daxp-MuQinBu-FengHuanChao.xml,1.0,1.0,2.0,1.0,3.0,4
8,daxp-SuSanLi-NvQiJie.xml,1.0,1.0,2.0,1.0,3.0,4;7
9,daxp-TingTaYan-ZuoGong.xml,1.0,1.0,2.0,1.0,3.0,4;4
10,daxp-WoHeNi-SangYuanHui.xml,1.0,1.0,2.0,1.0,3.0
11,sdxp-DangNianHan-SanJiZhang.xml,1.0,1.0,2.0,1.0,3.0,4;5;4;4;4;4;4
12,sdxp-SuLongWei-WuJiaPo.xml,1.0,1.0,2.0,1.0,3.0,4;4;4
13,sdxp-WoHeNi-SiLangTanMu.xml,1.0,1.0,1.25,1.0,1.25,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;2;3;2;3;2;2
Avg,,1.0,1.0,2.0,1.0,3.0,4;4;4;4;4;4;4;4;31;4;4;5;4;4;4;4;4;4;4;4;6;4;4;4;5;27;4;4;5;4;8;4;4;5;4;4;5;7;4;5;7;5;7;4;4;7;4;4;4;5;4;4;4;4;4;4;4;4;4
mdn-da-xp-kb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,1.0,1.0,2.0,1.0,3.0,4;4;31
2,daxp-DangRiLi-SuoLinNang.xml,1.0,1.0,2.0,1.0,2.0
3,daxp-DiTouLi-NvQiJie.xml,1.0,1.0,1.0,1.0,3.0
4,daxp-ErTingDe-SuoLinNang.xml,2.0,1.0,2.0,1.0,3.0,27
5,daxp-FeiShiWo-TaoHuaCun.xml,1.0,1.0,2.0,1.0,3.0
6,daxp-MengTingDe-MuiGuiYingGuaShuai.xml,1.0,1.0,1.0,1.0,2.0
7,daxp-MuQinBu-FengHuanChao.xml,1.0,1.0,2.0,1.0,3.0
8,daxp-SuSanLi-NvQiJie.xml,1.0,1.0,2.0,1.0,3.0
9,daxp-TingTaYan-ZuoGong.xml,1.0,1.0,2.0,1.0,3.0,4
10,daxp-WoHeNi-SangYuanHui.xml,1.0,1.0,1.75,1.0,2.0
11,sdxp-DangNianHan-SanJiZhang.xml,1.0,1.0,2.0,1.0,3.0
12,sdxp-SuLongWei-WuJiaPo.xml,1.0,1.0,2.0,1.0,2.0
13,sdxp-WoHeNi-SiLangTanMu.xml,1.0,1.0,1.0,1.0,2.0
Avg,,1.0,1.0,2.0,1.0,3.0,4;4;31;27;4
mdn-da-xp-kb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,1.0,1.0,2.0,1.0,3.0,4;4;4;4;4;4;4;4;5
2,daxp-DangRiLi-SuoLinNang.xml,1.0,1.0,2.0,1.0,3.0,4;4;4;4;4
3,daxp-DiTouLi-NvQiJie.xml,1.0,1.0,2.0,1.0,3.0,4
4,daxp-ErTingDe-SuoLinNang.xml,2.0,1.0,2.0,1.0,3.0,4;4;6;4;4;4;5;4;4;5
5,daxp-FeiShiWo-TaoHuaCun.xml,1.0,1.0,2.0,1.0,3.0,4;8;4;4;5;4;4;5;7;4
6,daxp-MengTingDe-MuiGuiYingGuaShuai.xml,1.0,1.0,2.0,1.0,2.0,5;7;5;7
7,daxp-MuQinBu-FengHuanChao.xml,1.0,1.0,2.0,1.0,3.0,4
8,daxp-SuSanLi-NvQiJie.xml,1.0,1.0,2.0,1.0,3.0,4;7
9,daxp-TingTaYan-ZuoGong.xml,1.0,1.0,2.0,1.0,2.0,4
10,daxp-WoHeNi-SangYuanHui.xml,1.0,1.0,3.0,1.0,3.0
11,sdxp-DangNianHan-SanJiZhang.xml,2.0,1.0,2.0,1.0,3.0,4;5;4;4;4;4;4
12,sdxp-SuLongWei-WuJiaPo.xml,1.0,1.0,2.0,1.0,3.0,4;4;4
13,sdxp-WoHeNi-SiLangTanMu.xml,1.0,1.0,2.0,1.0,3.0,4
Avg,,1.0,1.0,2.0,1.0,3.0,4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;6;4;4;4;5;4;4;5;4;8;4;4;5;4;4;5;7;4;5;7;5;7;4;4;7;4;4;5;4;4;4;4;4;4;4;4;4
