mdd-ls-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
8,lseh-XinZhongYou-WenZhaoGuan.xml,1.0,1.0,1.3125,0.75,1.75,0.25;0.5;0.25;0.5;0.5;0.5;0.5;0.5;0.25;0.5;0.5;0.5;0.5;0.5;0.5;0.25;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.25;0.5;0.5;0.5;4.0;13.5;7.0;2.0;2.0;3.0;4.5;2.0;13.0;2.5;6.25;2.0;20.0;2.0;2.0;2.0;2.0;17.0;11.75;9.5;5.5;3.0;2.0;4.0;2.0;5.5;5.5
9,lseh-XuMaoGong-QinQiongFaPei.xml,1.0,1.0,1.5,0.5,2.0,6.0;3.0;3.0;4.0;3.0
10,lseh-YangYanZhao-PengBei.xml,1.0,0.5,1.0,0.5,1.5,3.0;5.0;2.5;3.0;3.0;2.0;5.0;3.5;2.0;5.0
11,lseh-YiLunMing-WenZhaoGuan-1.xml,1.0,1.0,1.0625,1.0,1.0625,0.5;0.5;0.5;0.5;0.5;0.5;0.25;0.75;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1.5;4.0;2.0;2.0;15.0;7.0;2.0;2.0;1.5;2.0;2.0;1.5;2.0;1.25;1.5;3.0;4.5;2.0;13.0;2.5;6.0;2.0;20.5;2.0;2.0;2.0;2.0;17.0;11.75;9.5;5.5;1.5;3.25;2.0;2.0;2.0;4.0;2.0;7.5;5.5
12,lseh-YiLunMing-ZhuoFangCao-1.xml,1.0,0.5,1.0,0.25,1.75,3.0;3.5;3.0;2.0;4.0;7.5;6.0;2.0;2.0;5.0;3.0;17.0
13,lseh-ZenNengGou-BaDaChui.xml,1.0,1.0,1.0,0.5,9.0
14,sdeh-WenSanNiang-SanNiangJiaoZi.xml,0.75,0.5,1.0,0.5,1.0,3.5;2.0
Avg,,1.0,0.75,1.5,0.25,2.5,4.5;9.0;3.0;3.5;2.75;4.5;10.0;3.0;10.5;5.5;8.75;4.5;4.5;2.75;5.0;4.5;9.75;4.0;9.0;7.0;6.0;4.0;3.75;10.0;2.75;3.75;16.0;3.75;6.0;7.0;3.0;9.0;3.0;3.0;15.0;3.75;6.0;7.0;4.0;11.0;3.0;4.0;16.5;3.75;6.0;7.0;3.5;5.0;7.5;2.75;5.5;5.5;3.25;4.0;13.5;7.0;3.0;4.5;13.0;6.25;20.0;17.0;11.75;9.5;5.5;3.0;4.0;5.5;5.5;6.0;3.0;3.0;4.0;3.0;3.0;5.0;3.0;3.0;5.0;3.5;5.0;4.0;15.0;7.0;3.0;4.5;13.0;6.0;20.5;17.0;11.75;9.5;5.5;3.25;4.0;7.5;5.5;3.0;3.5;3.0;4.0;7.5;6.0;5.0;3.0;17.0;3.0;3.0;9.0;4.0;3.5
mdd-ls-eh-yb-s1.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-LaoZhangBu-WuPenJi.xml,1.0,1.0,2.0,0.5,3.5,4.5;9.0;4.5;10.0;5.5
2,lseh-NiangZiBu-SouGuJiuGu.xml,1.0,1.0,2.5,1.0,4.5
3,lseh-TuZeiZuo-SouGuJiuGu.xml,1.0,1.0,2.25,1.0,4.0,9.0;6.0
4,lseh-WeiGuoJia-HongYangDong-1.xml,1.0,1.0,1.5,1.0,1.5,3.75;10.0;3.75;16.0
5,lseh-WeiGuoJia-HongYangDong-2.xml,1.0,1.0,2.0,1.0,3.0,9.0;15.0
6,lseh-WeiGuoJia-HongYangDong-3.xml,1.0,1.0,2.125,1.0,2.5,4.0;11.0;4.0;16.5
7,lseh-WeiKaiYan-RangXuZhou.xml,1.0,1.0,1.625,0.25,2.0,3.5;5.0;7.5;5.5
8,lseh-XinZhongYou-WenZhaoGuan.xml,1.0,1.0,1.75,0.25,2.5,4.0;7.0;6.25;20.0;5.5;3.0
